S-Word;Tristeza;Miedo;Alegr¡a;Enfado;Sorpresa;Neutral
avi¢n;0,00;0,00;0,00;0,00;0,00;1,00
avispa;0,00;0,67;0,00;0,00;0,00;0,33
az£car;0,00;0,00;0,17;0,00;0,00;0,83
azul;0,17;0,00;0,00;0,00;0,00;0,83
bailar¡n;0,00;0,00;0,50;0,00;0,00;0,50
bala;0,00;1,00;0,00;0,00;0,00;0,00
bancarrota;0,67;0,17;0,00;0,17;0,00;0,00
banco;0,00;0,00;0,00;0,00;0,00;1,00
bandera;0,00;0,00;0,00;0,00;0,00;1,00
ba¤era;0,00;0,00;0,17;0,00;0,00;0,83
ba¤o;0,00;0,00;0,00;0,00;0,00;1,00
bar;0,00;0,00;0,50;0,00;0,00;0,50
barco;0,00;0,00;0,17;0,00;0,00;0,83
barril;0,00;0,00;0,00;0,00;0,00;1,00
bastardo;0,17;0,00;0,00;0,83;0,00;0,00
basto;0,00;0,00;0,00;0,50;0,17;0,33
bast¢n;0,00;0,00;0,00;0,00;0,00;1,00
basura;0,50;0,00;0,00;0,17;0,00;0,33
beb‚;0,00;0,00;0,83;0,00;0,00;0,17
bebida;0,00;0,00;0,17;0,00;0,00;0,83
belleza;0,00;0,00;0,83;0,00;0,00;0,17
bendecir;0,00;0,00;0,67;0,00;0,00;0,33
beso;0,00;0,00;1,00;0,00;0,00;0,00
bestia;0,00;1,00;0,00;0,00;0,00;0,00
blanco;0,00;0,00;0,00;0,00;0,00;1,00
blasfemia;0,00;0,00;0,00;1,00;0,00;0,00
boda;0,00;0,00;1,00;0,00;0,00;0,00
bodega;0,00;0,00;0,17;0,00;0,00;0,83
bofetada;0,00;0,33;0,00;0,67;0,00;0,00
bomba;0,00;1,00;0,00;0,00;0,00;0,00
bombilla;0,00;0,00;0,17;0,00;0,00;0,83
botella;0,00;0,00;0,00;0,00;0,00;1,00
boxeador;0,00;0,67;0,00;0,00;0,00;0,33
brazo;0,00;0,00;0,00;0,00;0,00;1,00
brillante;0,00;0,00;0,83;0,00;0,00;0,17
br¡o;0,00;0,00;0,50;0,00;0,00;0,50
brisa;0,00;0,00;0,50;0,00;0,00;0,50
brutal;0,00;0,67;0,00;0,00;0,17;0,17
buceador;0,00;0,00;0,00;0,00;0,00;1,00
bueno;0,00;0,00;1,00;0,00;0,00;0,00
b£ho;0,00;0,00;0,17;0,00;0,00;0,83
bulto;0,00;0,00;0,00;0,00;0,00;1,00
burla;0,17;0,00;0,00;0,83;0,00;0,00
caballo;0,00;0,00;0,17;0,00;0,00;0,83
cable;0,00;0,00;0,00;0,00;0,00;1,00
cachorro;0,00;0,00;0,67;0,00;0,00;0,33
cad ver;0,33;0,67;0,00;0,00;0,00;0,00
ca¡da;0,33;0,33;0,00;0,00;0,33;0,00
calidad;0,00;0,00;0,83;0,00;0,00;0,17
callado;0,33;0,00;0,00;0,00;0,00;0,67
calle;0,00;0,00;0,00;0,00;0,00;1,00
callej¢n;0,00;0,50;0,00;0,00;0,00;0,50
calmar;0,17;0,00;0,17;0,00;0,00;0,67
calor;0,00;0,00;0,00;0,17;0,00;0,83
cama;0,00;0,00;0,50;0,00;0,00;0,50
cami¢n;0,00;0,00;0,00;0,00;0,00;1,00
campe¢n;0,00;0,00;1,00;0,00;0,00;0,00
campo;0,00;0,00;0,17;0,00;0,00;0,83
c ncer;0,50;0,50;0,00;0,00;0,00;0,00
canci¢n;0,00;0,00;0,67;0,00;0,00;0,33
cansado;0,67;0,00;0,00;0,00;0,00;0,33
ca¤¢n;0,00;0,67;0,00;0,00;0,00;0,33
caos;0,33;0,33;0,00;0,33;0,00;0,00
capaz;0,00;0,00;0,67;0,00;0,00;0,33
capricho;0,00;0,00;0,17;0,33;0,00;0,50
cara;0,00;0,00;0,00;0,00;0,00;1,00
caramelo;0,00;0,00;0,83;0,00;0,00;0,17
c rcel;0,33;0,67;0,00;0,00;0,00;0,00
caricia;0,00;0,00;1,00;0,00;0,00;0,00
cari¤oso;0,00;0,00;1,00;0,00;0,00;0,00
carretera;0,00;0,00;0,00;0,00;0,00;1,00
carro;0,00;0,00;0,00;0,00;0,00;1,00
carro¤a;0,17;0,00;0,00;0,33;0,00;0,50
carta;0,00;0,00;0,17;0,00;0,00;0,83
casa;0,00;0,00;0,17;0,00;0,00;0,83
cascada;0,00;0,00;0,17;0,00;0,00;0,83
casino;0,17;0,00;0,33;0,00;0,00;0,50
casita;0,00;0,00;0,17;0,00;0,00;0,83
castigo;0,33;0,33;0,00;0,33;0,00;0,00
celos;0,33;0,00;0,00;0,67;0,00;0,00
c‚lula;0,00;0,00;0,00;0,00;0,00;1,00
cementerio;0,33;0,67;0,00;0,00;0,00;0,00
cena;0,00;0,00;0,17;0,00;0,00;0,83
cerdo;0,17;0,00;0,17;0,17;0,00;0,50
c‚sped;0,00;0,00;0,17;0,00;0,00;0,83
cesta;0,00;0,00;0,00;0,00;0,00;1,00
chaleco;0,00;0,00;0,00;0,00;0,00;1,00
champi¤¢n;0,00;0,00;0,00;0,00;0,00;1,00
chantaje;0,00;0,17;0,00;0,83;0,00;0,00
chica;0,00;0,00;0,17;0,00;0,00;0,83
chico;0,00;0,00;0,00;0,00;0,00;1,00
chiflado;0,00;0,33;0,17;0,33;0,17;0,00
chillido;0,00;0,67;0,00;0,17;0,17;0,00
chiste;0,00;0,00;1,00;0,00;0,00;0,00
chocolate;0,00;0,00;0,50;0,00;0,00;0,50
choque;0,00;0,33;0,00;0,00;0,50;0,17
cicatriz;0,67;0,17;0,00;0,00;0,00;0,17
cicl¢n;0,00;1,00;0,00;0,00;0,00;0,00
ciego;0,67;0,00;0,00;0,00;0,00;0,33
cielo;0,00;0,00;0,50;0,00;0,00;0,50
ciempi‚s;0,00;0,17;0,00;0,00;0,00;0,83
cieno;0,17;0,33;0,00;0,00;0,00;0,50
circo;0,17;0,00;0,67;0,00;0,17;0,00
c¡rculo;0,00;0,00;0,00;0,00;0,00;1,00
cirug¡a;0,00;0,83;0,00;0,00;0,00;0,17
ciudad;0,00;0,00;0,00;0,00;0,00;1,00
cobarde;0,17;0,67;0,00;0,17;0,00;0,00
coche;0,00;0,00;0,00;0,00;0,00;1,00
cocina;0,00;0,00;0,17;0,00;0,00;0,83
cocinero;0,00;0,00;0,17;0,00;0,00;0,83
codo;0,00;0,00;0,00;0,00;0,00;1,00
coito;0,00;0,00;1,00;0,00;0,00;0,00
c¢lera;0,00;0,17;0,00;0,83;0,00;0,00
color;0,00;0,00;0,33;0,00;0,00;0,67
columna;0,00;0,00;0,00;0,00;0,00;1,00
comedia;0,00;0,00;1,00;0,00;0,00;0,00
comer;0,00;0,00;0,67;0,00;0,00;0,33
comida;0,00;0,00;0,33;0,00;0,00;0,67
comprometido;0,00;0,00;0,83;0,00;0,00;0,17
concentrado;0,00;0,00;0,00;0,00;0,00;1,00
conejito;0,00;0,00;0,17;0,00;0,00;0,83
conejo;0,00;0,00;0,17;0,00;0,00;0,83
confianza;0,00;0,00;0,83;0,00;0,00;0,17
confort;0,00;0,00;1,00;0,00;0,00;0,00
confuso;0,50;0,00;0,00;0,00;0,50;0,00
conocimiento;0,00;0,00;0,67;0,00;0,00;0,33
considerado;0,00;0,00;0,50;0,00;0,00;0,50
consigna;0,00;0,00;0,00;0,00;0,00;1,00
consolado;0,33;0,00;0,67;0,00;0,00;0,00
contaminar;0,67;0,00;0,00;0,33;0,00;0,00
contenido;0,00;0,00;0,00;0,00;0,00;1,00
contexto;0,00;0,00;0,00;0,00;0,00;1,00
convencido;0,00;0,00;0,00;0,00;0,00;1,00
coqueto;0,00;0,00;0,50;0,00;0,00;0,50
coraz¢n;0,00;0,00;0,50;0,00;0,00;0,50
corcho;0,00;0,00;0,00;0,00;0,00;1,00
cordero;0,00;0,00;0,17;0,00;0,00;0,83
corona;0,00;0,00;0,00;0,00;0,00;1,00
corredor;0,00;0,00;0,17;0,00;0,00;0,83
correo;0,00;0,00;0,00;0,00;0,00;1,00
corrupto;0,00;0,00;0,00;0,83;0,00;0,17
corte;0,00;0,33;0,00;0,00;0,00;0,67
cortes¡a;0,00;0,00;0,83;0,00;0,00;0,17
cortina;0,00;0,00;0,00;0,00;0,00;1,00
costa;0,00;0,00;0,17;0,00;0,00;0,83
costumbre;0,00;0,00;0,00;0,00;0,00;1,00
cotilleo;0,00;0,00;0,00;0,17;0,83;0,00
cr neo;0,00;0,17;0,00;0,00;0,00;0,83
crepe;0,00;0,00;0,17;0,00;0,00;0,83
crep£sculo;0,17;0,33;0,17;0,00;0,00;0,33
criatura;0,00;0,17;0,17;0,00;0,00;0,67
crimen;0,17;0,83;0,00;0,00;0,00;0,00
criminal;0,17;0,83;0,00;0,00;0,00;0,00
crisis;0,50;0,17;0,00;0,33;0,00;0,00
crucificar;0,50;0,50;0,00;0,00;0,00;0,00
cruel;0,17;0,50;0,00;0,33;0,00;0,00
cuadrado;0,00;0,00;0,00;0,00;0,00;1,00
cucaracha;0,00;1,00;0,00;0,00;0,00;0,00
cuchillo;0,00;0,83;0,00;0,00;0,00;0,17
cuenco;0,00;0,00;0,00;0,00;0,00;1,00
cuerpo;0,00;0,00;0,00;0,00;0,00;1,00
culpa;0,83;0,00;0,00;0,17;0,00;0,00
culpable;0,50;0,00;0,00;0,50;0,00;0,00
cumplea¤os;0,00;0,00;1,00;0,00;0,00;0,00
cura;0,00;0,00;0,67;0,00;0,00;0,33
curar;0,00;0,00;1,00;0,00;0,00;0,00
curioso;0,00;0,00;0,17;0,00;0,67;0,17
daga;0,00;1,00;0,00;0,00;0,00;0,00
da¤o;0,50;0,33;0,00;0,17;0,00;0,00
d‚bil;0,83;0,00;0,00;0,17;0,00;0,00
decepcionar;0,83;0,00;0,00;0,00;0,17;0,00
decorar;0,00;0,00;0,83;0,00;0,00;0,17
dedicado;0,00;0,00;0,33;0,00;0,00;0,67
dedo;0,00;0,00;0,00;0,00;0,00;1,00
defendido;0,00;0,00;0,83;0,00;0,00;0,17
deforme;0,50;0,50;0,00;0,00;0,00;0,00
deleite;0,00;0,00;1,00;0,00;0,00;0,00
delicado;0,00;0,00;0,17;0,17;0,00;0,67
demente;0,17;0,33;0,00;0,17;0,00;0,33
demonio;0,00;1,00;0,00;0,00;0,00;0,00
dentista;0,00;0,50;0,00;0,00;0,00;0,50
deportes;0,00;0,00;0,33;0,00;0,00;0,67
depresi¢n;1,00;0,00;0,00;0,00;0,00;0,00
deprimido;1,00;0,00;0,00;0,00;0,00;0,00
desagrado;0,67;0,00;0,00;0,33;0,00;0,00
desanimado;1,00;0,00;0,00;0,00;0,00;0,00
desastre;0,17;0,33;0,00;0,50;0,00;0,00
descanso;0,00;0,00;1,00;0,00;0,00;0,00
descomposici¢n;0,33;0,17;0,00;0,00;0,00;0,50
desd‚n;0,17;0,00;0,00;0,67;0,00;0,17
desde¤oso;0,17;0,00;0,00;0,67;0,00;0,17
desenfadado;0,00;0,00;0,83;0,00;0,00;0,17
deseo;0,00;0,00;0,50;0,00;0,17;0,33
desertor;0,33;0,17;0,00;0,33;0,00;0,17
desesperado;1,00;0,00;0,00;0,00;0,00;0,00
desleal;0,50;0,00;0,00;0,50;0,00;0,00
deslumbramiento;0,00;0,00;0,00;0,17;0,33;0,50
desnudo;0,00;0,00;0,00;0,00;0,00;1,00
desordenado;0,00;0,00;0,00;0,67;0,00;0,33
despedazar;0,00;0,67;0,00;0,17;0,00;0,17
desperdicio;0,67;0,00;0,00;0,17;0,00;0,17
despreciar;0,67;0,00;0,00;0,33;0,00;0,00
despreocupado;0,00;0,00;0,17;0,17;0,00;0,67
destrucci¢n;0,17;0,67;0,00;0,17;0,00;0,00
destruir;0,17;0,50;0,00;0,33;0,00;0,00
desventaja;0,67;0,00;0,00;0,17;0,00;0,17
desvestido;0,00;0,00;0,00;0,00;0,00;1,00
detalle;0,00;0,00;0,50;0,00;0,17;0,33
detestar;0,17;0,00;0,00;0,83;0,00;0,00
deuda;0,83;0,00;0,00;0,00;0,17;0,00
devoto;0,00;0,00;0,00;0,00;0,00;1,00
diablo;0,00;0,83;0,00;0,17;0,00;0,00
diamante;0,00;0,00;0,83;0,00;0,00;0,17
dicha;0,00;0,00;1,00;0,00;0,00;0,00
dificultar;0,17;0,00;0,00;0,83;0,00;0,00
digno;0,00;0,00;0,83;0,00;0,00;0,17
dinero;0,00;0,00;0,67;0,00;0,00;0,33
d¡os;0,00;0,17;0,50;0,00;0,00;0,33
diploma;0,00;0,00;0,83;0,00;0,00;0,17
disgustado;0,83;0,00;0,00;0,17;0,00;0,00
distante;0,67;0,00;0,00;0,00;0,00;0,33
disturbio;0,00;0,83;0,00;0,17;0,00;0,00
diversi¢n;0,00;0,00;1,00;0,00;0,00;0,00
divorcio;1,00;0,00;0,00;0,00;0,00;0,00
doctor;0,00;0,00;0,00;0,00;0,00;1,00
d¢lar;0,00;0,00;0,00;0,00;0,00;1,00
dolencia;0,83;0,17;0,00;0,00;0,00;0,00
dolor;0,83;0,17;0,00;0,00;0,00;0,00
dormir;0,00;0,00;0,50;0,00;0,00;0,50
duro;0,00;0,00;0,00;0,00;0,00;1,00
edificio;0,00;0,00;0,00;0,00;0,00;1,00
educaci¢n;0,00;0,00;0,50;0,00;0,00;0,50
efectivo;0,00;0,00;0,67;0,00;0,00;0,33
ego¡sta;0,50;0,00;0,00;0,50;0,00;0,00
ejecuci¢n;0,00;0,67;0,00;0,00;0,00;0,33
ejercicio;0,00;0,00;0,17;0,00;0,00;0,83
ej‚rcito;0,00;0,50;0,00;0,00;0,00;0,50
electrodom‚stico;0,00;0,00;0,00;0,00;0,00;1,00
elegante;0,00;0,00;0,67;0,00;0,00;0,33
empleo;0,00;0,00;0,33;0,00;0,00;0,67
enamorado;0,00;0,00;1,00;0,00;0,00;0,00
encanto;0,00;0,00;1,00;0,00;0,00;0,00
en‚rgico;0,00;0,00;0,67;0,00;0,00;0,33
enfadado;0,00;0,00;0,00;1,00;0,00;0,00
enfado;0,00;0,00;0,00;1,00;0,00;0,00
enfermedad;0,67;0,33;0,00;0,00;0,00;0,00
enfermera;0,00;0,00;0,17;0,00;0,00;0,83
enfermo;1,00;0,00;0,00;0,00;0,00;0,00
enfurecido;0,00;0,17;0,00;0,83;0,00;0,00
enga¤o;0,17;0,00;0,00;0,83;0,00;0,00
engre¡do;0,00;0,00;0,00;1,00;0,00;0,00
ensalada;0,00;0,00;0,17;0,00;0,00;0,83
entierro;1,00;0,00;0,00;0,00;0,00;0,00
entrometido;0,00;0,00;0,00;0,83;0,17;0,00
entusiasmo;0,00;0,00;1,00;0,00;0,00;0,00
er¢tico;0,00;0,00;0,67;0,00;0,00;0,33
error;0,50;0,00;0,00;0,33;0,00;0,17
erudito;0,00;0,00;0,17;0,00;0,00;0,83
esc ndalo;0,00;0,17;0,00;0,00;0,83;0,00
esc‚ptico;0,00;0,00;0,00;0,00;0,00;1,00
esclavo;1,00;0,00;0,00;0,00;0,00;0,00
esconder;0,00;0,00;0,00;0,00;0,17;0,83
escopeta;0,00;1,00;0,00;0,00;0,00;0,00
escorbuto;0,33;0,50;0,00;0,00;0,00;0,17
escoria;0,17;0,00;0,00;0,83;0,00;0,00
escorpi¢n;0,00;1,00;0,00;0,00;0,00;0,00
escritor;0,00;0,00;0,00;0,00;0,00;1,00
esfera;0,00;0,00;0,00;0,00;0,00;1,00
espacio;0,00;0,00;0,00;0,00;0,00;1,00
espantoso;0,17;0,50;0,00;0,17;0,00;0,17
esperanza;0,00;0,00;1,00;0,00;0,00;0,00
esperanzado;0,00;0,00;0,83;0,00;0,17;0,00
espina;0,00;0,67;0,00;0,00;0,00;0,33
esp¡ritu;0,00;0,33;0,00;0,00;0,00;0,67
esposa;0,00;0,00;0,33;0,00;0,00;0,67
esposo;0,00;0,00;0,33;0,00;0,00;0,67
espuma;0,00;0,00;0,00;0,00;0,00;1,00
esquina;0,00;0,00;0,00;0,00;0,00;1,00
estancado;0,50;0,00;0,00;0,00;0,00;0,50
estatua;0,00;0,00;0,00;0,00;0,00;1,00
esti‚rcol;0,00;0,00;0,00;0,00;0,00;1,00
est¢mago;0,00;0,00;0,00;0,00;0,00;1,00
estrella;0,00;0,00;0,83;0,00;0,00;0,17
estremecerse;0,00;0,67;0,00;0,00;0,33;0,00
estr‚s;0,33;0,00;0,00;0,50;0,00;0,17
estufa;0,00;0,00;0,00;0,00;0,00;1,00
est£pido;0,00;0,00;0,00;1,00;0,00;0,00
euf¢rico;0,00;0,00;1,00;0,00;0,00;0,00
excelencia;0,00;0,00;1,00;0,00;0,00;0,00
excitado;0,00;0,00;0,67;0,00;0,00;0,33
excusa;0,00;0,00;0,00;0,50;0,00;0,50
‚xito;0,00;0,00;1,00;0,00;0,00;0,00
exquisito;0,00;0,00;1,00;0,00;0,00;0,00
‚xtasis;0,00;0,00;1,00;0,00;0,00;0,00
exterior;0,00;0,00;0,17;0,00;0,00;0,83
extraordinario;0,00;0,00;1,00;0,00;0,00;0,00
extraterrestre;0,00;0,50;0,00;0,00;0,33;0,17
f cil;0,00;0,00;0,67;0,00;0,00;0,33
falso ;0,00;0,00;0,00;0,67;0,00;0,33
fama;0,00;0,00;0,50;0,00;0,00;0,50
fam‚lico;1,00;0,00;0,00;0,00;0,00;0,00
familia;0,00;0,00;1,00;0,00;0,00;0,00
famoso;0,00;0,00;0,00;0,00;0,00;1,00
fantas¡a;0,00;0,00;0,50;0,00;0,33;0,17
faro;0,00;0,00;0,00;0,00;0,00;1,00
farol;0,00;0,00;0,00;0,00;0,00;1,00
fascinar;0,00;0,00;0,67;0,00;0,33;0,00
fase;0,00;0,00;0,00;0,00;0,00;1,00
fastidiar;0,00;0,00;0,00;1,00;0,00;0,00
fatigado;0,50;0,00;0,00;0,00;0,00;0,50
favor;0,00;0,00;0,00;0,00;0,00;1,00
feliz;0,00;0,00;1,00;0,00;0,00;0,00
feo;0,50;0,00;0,00;0,00;0,00;0,50
festivo;0,00;0,00;1,00;0,00;0,00;0,00
f‚tido;0,00;0,00;0,00;0,67;0,00;0,33
fiebre;0,67;0,33;0,00;0,00;0,00;0,00
fiesta;0,00;0,00;1,00;0,00;0,00;0,00
firmamento;0,00;0,00;0,33;0,00;0,17;0,50
flem¢n;0,67;0,17;0,00;0,00;0,00;0,17
flexible;0,00;0,00;0,00;0,00;0,00;1,00
flor;0,00;0,00;0,83;0,00;0,00;0,17
florecer;0,00;0,00;1,00;0,00;0,00;0,00
fofo;0,17;0,00;0,00;0,17;0,00;0,67
folleto;0,00;0,00;0,00;0,00;0,00;1,00
foll¢n;0,00;0,17;0,00;0,17;0,50;0,17
fortuito;0,00;0,00;0,00;0,00;0,67;0,33
fracaso;0,83;0,00;0,00;0,17;0,00;0,00
fragancia;0,00;0,00;0,50;0,00;0,00;0,50
fraude;0,00;0,00;0,00;1,00;0,00;0,00
fr¡o;0,00;0,00;0,00;0,00;0,00;1,00
frustrado;0,50;0,00;0,00;0,50;0,00;0,00
fuego;0,00;0,33;0,00;0,00;0,00;0,67
fuerte;0,00;0,00;0,00;0,00;0,00;1,00
funeral;1,00;0,00;0,00;0,00;0,00;0,00
furcia;0,33;0,00;0,00;0,67;0,00;0,00
fusil;0,00;1,00;0,00;0,00;0,00;0,00
ganancias;0,00;0,00;0,83;0,00;0,00;0,17
ganar;0,00;0,00;1,00;0,00;0,00;0,00
gangrena;0,50;0,50;0,00;0,00;0,00;0,00
gatito;0,00;0,00;0,83;0,00;0,00;0,17
gato;0,00;0,00;0,17;0,00;0,00;0,83
g‚lido;0,33;0,33;0,00;0,00;0,00;0,33
g‚nero;0,00;0,00;0,00;0,00;0,00;1,00
generoso;0,00;0,00;1,00;0,00;0,00;0,00
genial;0,00;0,00;1,00;0,00;0,00;0,00
gente;0,00;0,00;0,17;0,00;0,00;0,83
g‚rmenes;0,00;0,83;0,00;0,00;0,00;0,17
gimnasta;0,00;0,00;0,17;0,00;0,00;0,83
glaciar;0,00;0,00;0,17;0,00;0,00;0,83
glamour;0,00;0,00;0,17;0,00;0,00;0,83
gloria;0,00;0,00;1,00;0,00;0,00;0,00
goce;0,00;0,00;1,00;0,00;0,00;0,00
golfista;0,00;0,00;0,17;0,00;0,00;0,83
golpe;0,17;0,33;0,00;0,50;0,00;0,00
gordo;0,17;0,00;0,00;0,00;0,00;0,83
graduado;0,00;0,00;0,83;0,00;0,00;0,17
granada;0,00;0,33;0,33;0,00;0,00;0,33
granja;0,00;0,00;0,50;0,00;0,00;0,50
grave;0,50;0,33;0,00;0,00;0,00;0,17
grito;0,00;0,67;0,00;0,17;0,17;0,00
grosero;0,00;0,00;0,00;1,00;0,00;0,00
guapa;0,00;0,00;1,00;0,00;0,00;0,00
guapo;0,00;0,00;1,00;0,00;0,00;0,00
guarder¡a;0,00;0,00;0,33;0,00;0,00;0,67
guerra;0,33;0,67;0,00;0,00;0,00;0,00
guillotina;0,00;1,00;0,00;0,00;0,00;0,00
gui¤o;0,00;0,00;0,83;0,00;0,17;0,00
gusano;0,00;0,00;0,00;0,17;0,00;0,83
habitante;0,00;0,00;0,00;0,00;0,00;1,00
h bito;0,00;0,00;0,00;0,00;0,00;1,00
halc¢n;0,00;0,00;0,17;0,00;0,00;0,83
hambriento;0,83;0,00;0,00;0,00;0,00;0,17
hamburguesa;0,00;0,00;0,00;0,00;0,00;1,00
harto;0,00;0,00;0,00;1,00;0,00;0,00
hast¡o;0,33;0,00;0,00;0,67;0,00;0,00
hedor;0,17;0,33;0,00;0,00;0,17;0,33
heno;0,00;0,00;0,00;0,00;0,00;1,00
heridas;0,67;0,17;0,00;0,00;0,00;0,17
herido;0,67;0,17;0,00;0,00;0,00;0,17
hermano;0,00;0,00;0,83;0,00;0,00;0,17
hermoso;0,00;0,00;0,83;0,00;0,00;0,17
hero¡na;0,00;0,00;0,33;0,00;0,00;0,67
herramienta;0,00;0,00;0,00;0,00;0,00;1,00
hervir;0,00;0,17;0,00;0,00;0,00;0,83
